RegionsIDCode,Percentile_Integrat,Percentile_Experiment,Percentile_Flexible,Percentile_Reliable,Percentile_Method,Percentile_Expert,Percentile_Curious,Percentile_Connective,Percentile_Curative,Percentile_Generative
Manager of R_1MJWa6BdxRpwgND,69.95653507,39.93353338,44.97200522,53.31117553,66.63944422,34.97780414,24.98860456,74.96161919,51.64514194,49.97361319
Manager of R_10TaSsDDxhME09c,86.39071667,39.93353338,85.27749474,83.29978009,78.30167933,94.94204676,85.74440559,92.17180626,89.98290342,71.62988506
Manager of R_2ctm4ypibZq4fJP,96.31910285,94.9870027,98.88885602,94.96201519,92.76669777,94.94204676,85.74440559,88.28855572,86.65016997,79.95922039
Manager of R_3Ej74VyBQ63ng5u,29.99020189,92.48745261,64.95943273,94.96201519,8.844300877,74.95460846,98.95173903,94.9036535,51.64514194,98.95173903
Manager of R_1CHZuIicum9vtHP,29.99020189,9.99730054,44.97200522,76.63564574,43.31497401,94.94204676,48.31307477,39.97841079,28.32067173,19.988006
Manager of R_1GP85GVvAlg0iuS,86.39071667,49.96910576,54.96422884,83.29978009,94.98866818,74.95460846,85.74440559,39.97841079,69.9715114,49.97361319
Manager of R_SNnXZvhap2REAQV,24.98161481,14.99490099,85.27749474,76.63564574,90.54472737,74.95460846,18.32447021,26.65147426,28.32067173,19.988006
Manager of R_UQKQZOB9s9d7wJj,69.95653507,14.99490099,64.95943273,83.29978009,84.96581367,84.94684287,76.63564574,74.96161919,58.30927629,49.97361319
Manager of R_3CNQUzurGIRjm76,59.80229104,NaN,64.95943273,83.29978009,94.98866818,94.94204676,85.74440559,92.17180626,86.65016997,19.988006
Manager of R_4MYKTYpcDg6M7Qt,59.80229104,89.94591008,79.951709,53.31117553,66.63944422,59.9623304,59.97530988,74.96161919,58.30927629,79.95922039
Manager of R_2UXYfwzKVaIfDpZ,9.99580081,4.467661821,6.664567087,4.732908034,66.63944422,8.748025405,4.332050257,14.1630577,9.164117177,13.88611898
Manager of R_3RwLtphmg6cfkNu,86.39071667,74.95363741,54.96422884,76.63564574,54.97720912,74.95460846,85.74440559,66.63228386,58.30927629,89.14501375
Manager of R_tVTE0YHUsQlQZhL,14.99490099,4.467661821,14.99490099,18.32447021,54.97720912,34.97780414,18.32447021,10.69148927,9.164117177,8.331378104
Manager of R_1Q9iui8LtNHIPfQ,44.97200522,24.98161481,29.97971637,53.31117553,54.97720912,49.9671265,59.97530988,39.97841079,51.64514194,58.30294853
Manager of R_12D7MsZd2TOCUYi,44.97200522,14.99490099,64.95943273,59.97530988,66.63944422,59.9623304,48.31307477,53.30534733,39.98290684,41.64427786
Manager of R_3PZH47cIOmj7tHB,14.99490099,14.99490099,4.680340237,53.31117553,54.97720912,74.95460846,85.74440559,18.95132771,3.444175944,11.10874854
Manager of R_1ilJbQmXxH86YrK,86.39071667,89.94591008,98.88885602,94.96201519,54.97720912,84.94684287,76.63564574,92.17180626,86.65016997,93.05649116
Manager of R_3emoyeY6ZfdOIAe,29.99020189,14.99490099,29.97971637,53.31117553,36.65083966,59.9623304,48.31307477,18.95132771,39.98290684,41.64427786
